iter	RMSE
0	53409.65003
1	45889.08812
2	40996.57999
3	37383.8197
4	33953.95381
5	31325.89009
6	28735.82317
7	27323.32223
8	26333.79866
9	24903.00719
10	23504.98966
11	22466.23841
12	21716.40843
13	20967.3623
14	20429.8348
15	19822.57288
16	18873.31703
17	18387.67592
18	18121.03891
19	17420.26346
20	17113.08762
21	16717.6075
22	16385.41435
23	15917.15774
24	15398.68842
25	15134.48093
26	14653.01899
27	14280.9254
28	13986.62692
29	13715.02679
30	13488.50471
31	13203.71594
32	12775.39415
33	12461.02046
34	12242.86484
